date;state_id;store_id;dept_id;cat_id;item_id;wm_yr_wk;d;ventas;sell_price;year;month;wday;weekday;event_name_1;event_type_1;event_name_2;event_type_2
09/12/2015;CA;CA_3;FOODS_3;FOODS;FOODS_3_090;11545;d_1776;0;1.0;2015;12;5;Wednesday;;;;
09/12/2015;CA;CA_3;FOODS_3;FOODS;FOODS_3_120;11545;d_1776;58;4.98;2015;12;5;Wednesday;;;;
09/12/2015;CA;CA_3;FOODS_3;FOODS;FOODS_3_202;11545;d_1776;27;4.58;2015;12;5;Wednesday;;;;
09/12/2015;CA;CA_3;FOODS_3;FOODS;FOODS_3_252;11545;d_1776;46;1.58;2015;12;5;Wednesday;;;;
09/12/2015;CA;CA_3;FOODS_3;FOODS;FOODS_3_288;11545;d_1776;29;1.5;2015;12;5;Wednesday;;;;
09/12/2015;CA;CA_3;FOODS_3;FOODS;FOODS_3_329;11545;d_1776;0;2.98;2015;12;5;Wednesday;;;;
09/12/2015;CA;CA_3;FOODS_3;FOODS;FOODS_3_555;11545;d_1776;39;1.68;2015;12;5;Wednesday;;;;
09/12/2015;CA;CA_3;FOODS_3;FOODS;FOODS_3_586;11545;d_1776;63;1.68;2015;12;5;Wednesday;;;;
09/12/2015;CA;CA_3;FOODS_3;FOODS;FOODS_3_587;11545;d_1776;12;2.48;2015;12;5;Wednesday;;;;
09/12/2015;CA;CA_3;FOODS_3;FOODS;FOODS_3_714;11545;d_1776;18;1.58;2015;12;5;Wednesday;;;;
09/12/2015;CA;CA_4;FOODS_3;FOODS;FOODS_3_090;11545;d_1776;0;1.5;2015;12;5;Wednesday;;;;
09/12/2015;CA;CA_4;FOODS_3;FOODS;FOODS_3_120;11545;d_1776;0;4.98;2015;12;5;Wednesday;;;;
09/12/2015;CA;CA_4;FOODS_3;FOODS;FOODS_3_202;11545;d_1776;7;4.58;2015;12;5;Wednesday;;;;
09/12/2015;CA;CA_4;FOODS_3;FOODS;FOODS_3_252;11545;d_1776;4;1.58;2015;12;5;Wednesday;;;;
09/12/2015;CA;CA_4;FOODS_3;FOODS;FOODS_3_288;11545;d_1776;10;1.5;2015;12;5;Wednesday;;;;
09/12/2015;CA;CA_4;FOODS_3;FOODS;FOODS_3_329;11545;d_1776;0;2.98;2015;12;5;Wednesday;;;;
09/12/2015;CA;CA_4;FOODS_3;FOODS;FOODS_3_555;11545;d_1776;1;1.68;2015;12;5;Wednesday;;;;
09/12/2015;CA;CA_4;FOODS_3;FOODS;FOODS_3_586;11545;d_1776;11;1.68;2015;12;5;Wednesday;;;;
